"filename", "language", "C++", "comment", "blank", "total"
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\Platforms\OpenGL\ImGuiOpenGLRenderer.cpp", "C++", 669, 177, 95, 941
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\Platforms\OpenGL\ImGuiOpenGLRenderer.h", "C++", 22, 24, 11, 57
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\Platforms\WindowsWindow.cpp", "C++", -142, -1, -21, -164
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\Platforms\WindowsWindow.h", "C++", -30, -1, -13, -44
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\Platforms\Windows\WindowsInput.cpp", "C++", 37, 0, 6, 43
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\Platforms\Windows\WindowsInput.h", "C++", 13, 0, 4, 17
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\Platforms\Windows\WindowsWindow.cpp", "C++", 151, 1, 23, 175
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\Platforms\Windows\WindowsWindow.h", "C++", 31, 1, 14, 46
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\XRE.h", "C++", 2, 0, -2, 0
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\pch.h", "C++", 1, 0, 0, 1
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\xre\Event\Event.h", "C++", 0, 0, 2, 2
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\xre\Event\KeyEvent.h", "C++", 13, 0, 3, 16
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\xre\ImGui\ImGuiLayer.cpp", "C++", 131, 1, 16, 148
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\xre\ImGui\ImGuiLayer.h", "C++", 28, 0, 9, 37
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\xre\Input.h", "C++", 22, 1, 6, 29
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\xre\Layer.cpp", "C++", 11, 0, 4, 15
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\xre\Layer.h", "C++", 19, 0, 5, 24
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\xre\LayerStack.cpp", "C++", 39, 0, 7, 46
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\xre\LayerStack.h", "C++", 21, 0, 7, 28
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\xre\Window.h", "C++", 1, 0, -1, 0
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\xre\application.cpp", "C++", 21, 2, 7, 30
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\xre\application.h", "C++", 7, 1, 1, 9
"d:\Study\bishe2023.1\dev\XRengine\XRengine\src\xre\core.h", "C++", 1, 0, 0, 1
"Total", "-", 1068, 206, 183, 1457
